address,city,state,total_sf,year_built,class,tatol_vacant_sf,vacancy_rate,total_leased_sf,total_available_sf,availability_rate
610 Bercut Dr,Sacramento,CA,11100,1977,C,0,0,11100,0,0
600 Bercut Dr,Sacramento,CA,11100,1977,C,0,0,11100,0,0
620 Bercut Dr,Sacramento,CA,11100,1970,B,0,0,11100,0,0
1590 A St,Sacramento,CA,11088,,C,0,0,11088,0,0
1234 H St,Sacramento,CA,10990,1985,B,0,0,10990,0,0
901 F St,Sacramento,CA,10635,1950,C,1270,0.119,9365,2770,0.26
500 9th St,Sacramento,CA,10480,,C,0,0,10480,0,0
711 E St,Sacramento,CA,10138,,C,0,0,10138,0,0
470 Bannon St,Sacramento,CA,10008,,C,0,0,10008,0,0
1220 H St,Sacramento,CA,10000,1960,C,540,0.054,9460,540,0.054
1109-1113 2nd St,Sacramento,CA,10000,,C,0,0,10000,0,0
